epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4297,0.97161,1.62102,0.99547,0.98173,0.97439,0.99215,0.72052,0.98375,1.18159,1.01507,0.000554555,0.000554555,0.000554555
2,179.766,0.92732,0.91408,0.98792,0.98414,0.987,0.99411,0.70833,1.05004,0.80019,1.04199,0.00109923,0.00109923,0.00109923
3,262.114,0.90678,0.70244,0.97513,0.95887,0.95104,0.99064,0.71492,1.02258,0.72687,1.01138,0.0016329,0.0016329,0.0016329
4,345.267,0.89032,0.60508,0.97612,0.97949,0.9822,0.99311,0.68952,1.09272,0.60825,1.0385,0.00161749,0.00161749,0.00161749
5,431.603,0.85854,0.54178,0.96646,0.98508,0.9922,0.99384,0.72919,0.99604,0.51385,1.00501,0.00160099,0.00160099,0.00160099
6,516.084,0.86528,0.51403,0.96498,0.98873,0.99193,0.99474,0.70413,1.08532,0.51672,1.03296,0.00158448,0.00158448,0.00158448
7,600.507,0.85141,0.49695,0.9634,0.97331,0.957,0.99189,0.72813,0.98262,0.5251,0.98008,0.00156798,0.00156798,0.00156798
8,685.438,0.82065,0.47049,0.94783,0.98795,0.99,0.9943,0.73384,0.99065,0.4585,0.98269,0.00155148,0.00155148,0.00155148
9,770.595,0.83535,0.47203,0.95153,0.99376,0.98708,0.99486,0.75094,0.94717,0.43149,0.96409,0.00153497,0.00153497,0.00153497
10,855.559,0.82418,0.44019,0.94736,0.99257,0.99406,0.99308,0.74881,0.9371,0.42837,0.9589,0.00151847,0.00151847,0.00151847
11,939.917,0.80828,0.45113,0.94387,0.98626,0.9907,0.994,0.74032,0.95367,0.44519,0.97556,0.00150197,0.00150197,0.00150197
12,1025.11,0.80118,0.43552,0.94095,0.99565,0.99559,0.99497,0.75366,0.9446,0.41966,0.95704,0.00148546,0.00148546,0.00148546
13,1110.65,0.80276,0.42823,0.94753,0.99492,0.99175,0.99407,0.75693,0.92266,0.40738,0.95329,0.00146896,0.00146896,0.00146896
14,1196,0.77337,0.41873,0.93624,0.99093,0.99498,0.99486,0.7521,0.96593,0.42626,0.97744,0.00145246,0.00145246,0.00145246
15,1280.78,0.79576,0.41974,0.94346,0.99156,0.995,0.99463,0.74545,0.9638,0.41729,0.96283,0.00143595,0.00143595,0.00143595
16,1366.24,0.78361,0.41344,0.93218,0.99554,0.99075,0.99497,0.76543,0.92527,0.40601,0.94723,0.00141945,0.00141945,0.00141945
17,1452.36,0.77128,0.40601,0.93044,0.99835,0.99593,0.99498,0.75527,0.93435,0.38522,0.95993,0.00140295,0.00140295,0.00140295
18,1537.73,0.75028,0.38694,0.92808,0.99021,0.99751,0.99498,0.7725,0.89112,0.38729,0.95155,0.00138644,0.00138644,0.00138644
19,1622.95,0.76032,0.38734,0.93249,0.94535,0.96094,0.99165,0.76453,0.91662,0.46152,0.94772,0.00136994,0.00136994,0.00136994
20,1708.27,0.77898,0.39187,0.93397,0.99451,0.99342,0.99498,0.76011,0.93044,0.3937,0.95299,0.00135344,0.00135344,0.00135344
21,1793.64,0.75081,0.38209,0.929,0.99822,0.99238,0.99496,0.76759,0.91894,0.37631,0.95038,0.00133693,0.00133693,0.00133693
22,1879.49,0.74917,0.38969,0.93003,0.994,0.993,0.99496,0.75891,0.95118,0.39201,0.96242,0.00132043,0.00132043,0.00132043
23,1964.93,0.74762,0.37397,0.9275,0.98607,0.97092,0.99484,0.77232,0.88247,0.4149,0.93868,0.00130393,0.00130393,0.00130393
24,2050.34,0.74197,0.37717,0.92382,0.99901,0.9931,0.995,0.77145,0.9074,0.37385,0.94177,0.00128742,0.00128742,0.00128742
25,2135.91,0.75385,0.37537,0.93195,0.98837,0.99135,0.99412,0.76121,0.94068,0.40019,0.96141,0.00127092,0.00127092,0.00127092
26,2221.07,0.74531,0.37613,0.92461,0.99706,0.994,0.99498,0.77379,0.90473,0.38476,0.94425,0.00125442,0.00125442,0.00125442
27,2307.13,0.76291,0.37582,0.93187,0.99151,0.99262,0.99491,0.76434,0.9406,0.38559,0.95552,0.00123791,0.00123791,0.00123791
28,2392.39,0.75013,0.3683,0.9312,0.99066,0.996,0.99498,0.77257,0.89254,0.36487,0.93787,0.00122141,0.00122141,0.00122141
29,2477.99,0.72309,0.36808,0.92214,0.99399,0.99104,0.995,0.76276,0.93855,0.38299,0.94981,0.00120491,0.00120491,0.00120491
30,2563.5,0.73648,0.37227,0.92557,0.99613,0.99324,0.99493,0.7669,0.93021,0.36763,0.95097,0.0011884,0.0011884,0.0011884
31,2649.95,0.729,0.35923,0.92062,0.9922,0.99763,0.99476,0.77849,0.90204,0.36316,0.93937,0.0011719,0.0011719,0.0011719
32,2735.41,0.71685,0.35624,0.91874,0.99631,0.98793,0.995,0.77645,0.87912,0.36823,0.93102,0.0011554,0.0011554,0.0011554
33,2820.44,0.7259,0.35867,0.92077,0.99746,0.99246,0.995,0.76416,0.93539,0.37354,0.95242,0.00113889,0.00113889,0.00113889
34,2907,0.73992,0.36509,0.92773,0.99911,0.99061,0.99494,0.78211,0.86666,0.35486,0.93659,0.00112239,0.00112239,0.00112239
35,2992.77,0.7183,0.3538,0.92401,0.99072,0.98662,0.99495,0.78758,0.84791,0.37424,0.92026,0.00110589,0.00110589,0.00110589
36,3078.35,0.71868,0.35307,0.9226,0.99409,0.9951,0.99469,0.77496,0.92378,0.37144,0.94976,0.00108938,0.00108938,0.00108938
37,3164.32,0.70372,0.34563,0.9137,0.99457,0.99843,0.99497,0.76919,0.92011,0.35709,0.94606,0.00107288,0.00107288,0.00107288
